trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT02239575,Collection of Retrospective (Archival) Samples and Prospective Collection of Surplus Tissue and Blood Samples,WITHDRAWN,,0.0,,OBSERVATIONAL,Global BioClinical,,103,2014-03,
NCT03790475,Participation in Competing Strategies for Colorectal Cancer Screening - a Randomized Health Services Study Within the National Screening Program in Poland,UNKNOWN,NA,12298.0,,INTERVENTIONAL,Maria Sklodowska-Curie National Research Institute of Oncology,,86,2018-08-25,
NCT05505175,Outcomes Among Patients in Brazil Receiving Palbociclib Combinations for HR+/HER2- MBC,COMPLETED,,120.0,,OBSERVATIONAL,Pfizer,,73,2022-05-30,
NCT03204812,Durvalumab and Tremelimumab in Treating Chemotherapy Naive Patients With Metastatic Castration-Resistant Prostate Cancer,COMPLETED,PHASE2,31.0,,INTERVENTIONAL,M.D. Anderson Cancer Center,,1179,2017-07-14,
NCT00464919,Sorafenib Plus Tegafur/Uracil (UFUR®) for Hepatocellular Carcinoma (HCC),COMPLETED,PHASE2,50.0,,INTERVENTIONAL,National Taiwan University Hospital,,325,2007-04,
NCT06008730,Proton Beam Radiation Therapy After Treatment for Resected N2 Non-Small Cell Lung Cancer,RECRUITING,PHASE2,20.0,,INTERVENTIONAL,Emory University,,781,2024-12-13,
NCT04859530,Automated Cervical Cancer Screening Using a Smartphone-based Artificial Intelligence Classifier,RECRUITING,NA,5886.0,,INTERVENTIONAL,Prof. Patrick Petignat,,71,2018-08-01,
NCT06102330,Multicenter HomeVENT: Home Values and Experiences Navigation Track,RECRUITING,NA,600.0,,INTERVENTIONAL,Johns Hopkins University,,137,2024-02-06,
NCT06757530,Radiomics Model for Assessing Lymph Node Status in cN0 Patients withHNSCC,COMPLETED,,700.0,,OBSERVATIONAL,First Affiliated Hospital of Chongqing Medical University,,61,2024-11-27,
NCT06098430,Patient-Reported Outcomes and Quality of Life in Adult and Pediatric Patients With Nodular Lymphocyte-Predominant Hodgkin Lymphoma (NLPHL),RECRUITING,,100.0,,OBSERVATIONAL,St. Jude Children's Research Hospital,,140,2024-04-04,
NCT04387630,Neoadjuvant Chemotherapy With or Without Metformin in Early Breast Cancer.,UNKNOWN,"PHASE2, PHASE3",120.0,,INTERVENTIONAL,Mansoura University,,80,2020-06-05,
NCT01105130,L-Arginine Supplementation With or Without Enzyme Inhibitors Treating Erectile Function of Prostate Cancer Survivors,COMPLETED,PHASE2,140.0,,INTERVENTIONAL,Wake Forest University Health Sciences,,556,2010-10-01,
NCT03777930,The Evaluation of Curative Effect on Treatment of Tumor Above Thalidomide Combined With Megestrol,UNKNOWN,PHASE4,200.0,,INTERVENTIONAL,Shenzhen Fifth People's Hospital,,249,2018-12-10,
NCT07315828,Accuracy of Indocyanine Green (ICG) Fluorescence Imaging in Giant Cell Tumor of Bone Surgery,RECRUITING,PHASE4,40.0,,INTERVENTIONAL,Shanghai Jiao Tong University Affiliated Sixth People's Hospital,,61,2026-01-02,
NCT01064128,Study of Different Pain Scores in Single-Port Access (SPA) Laparoscopic Hysterectomy Versus Conventional Laparoscopic Hysterectomy,COMPLETED,PHASE3,40.0,,INTERVENTIONAL,Samsung Medical Center,,80,2010-01,
NCT07107607,Assessing Claims of Cannabis as an Anti-cancer Agent (CATA),RECRUITING,,50.0,,OBSERVATIONAL,HealthPartners Institute,,124,2021-03-19,
NCT07502300,A Study Comparing BL-B01D1 Combined With Tislelizumab Versus Platinum-containing Chemotherapy Combined With Tislelizumab as First-line Treatment in Patients With Extensive-stage Small Cell Lung Cance,NOT_YET_RECRUITING,PHASE3,562.0,,INTERVENTIONAL,"Sichuan Baili Pharmaceutical Co., Ltd.",,564,2026-04,
